Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
58124-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,25.35555594,63,6600,GS@HOU,HOU,GS,,,,,,PF
58124-58153,SF,Kelly,Kelly Oubre,Oubre,28.73272816,55,6600,GS@HOU,GS,HOU,GTD,Wrist,,,,SF
58124-20640,SG,Jordan,Jordan Clarkson,Clarkson,27.05593303,59,6500,TOR@UTA,UTA,TOR,,,,,,SG
58124-66236,PF,John,John Collins,Collins,31.99636452,55,6500,CHI@ATL,ATL,CHI,,,,,,PF
58124-23831,PF,Jerami,Jerami Grant,Grant,35.46226415,53,6400,DET@CHA,DET,CHA,O,Knee,,,,PF
58124-14512,PF,Marcus,Marcus Morris,Morris,21.98600098,50,6300,DEN@LAC,LAC,DEN,,,,,,PF
58124-9535,PG,Kyle,Kyle Lowry,Lowry,35.27777778,45,6300,TOR@UTA,TOR,UTA,O,Rest,,,,PG
58124-84706,SG,Devonte',Devonte' Graham,Graham,27.56,50,6200,DET@CHA,CHA,DET,,,,,,SG
58124-110326,PG,Coby,Coby White,White,26.81833293,60,6200,CHI@ATL,CHI,ATL,,,,,,PG
58124-15590,C,Mason,Mason Plumlee,Plumlee,29.92909047,55,6100,DET@CHA,DET,CHA,O,Rest,,,,C
58124-110345,SF,Kevin,Kevin Porter,Porter,30.79565164,23,6100,GS@HOU,HOU,GS,,,,,,SF
58124-111273,SF,Luguentz,Luguentz Dort,Dort,23.51249949,48,6000,IND@OKC,OKC,IND,O,Hip,,,,SF
58124-16081,C,Khem,Khem Birch,Birch,18.28793019,58,6000,TOR@UTA,TOR,UTA,,,,,,C
58124-145327,PG,Cole,Cole Anthony,Anthony,25.16052567,38,6000,MEM@ORL,ORL,MEM,,,,,,PG
58124-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,23.59841192,63,5900,TOR@UTA,UTA,TOR,,,,,,SF
